0 0.284481 0.232418
19 0.352811 0.183151
27 0.520355 0.357419
5 0.454587 0.315906
4 0.337784 0.43009
12 0.133785 0.567603
30 0.111703 0.653527
28 0.0966778 0.773843
20 0.0172715 0.851027
32 0.19511 0.904169
17 0.487648 0.692358
18 0.475818 0.772982
33 0.533464 0.830133
24 0.497295 0.831241
21 0.427534 0.889185
14 0.469511 0.959321
1 0.616146 0.916266
25 0.758438 0.868866
29 0.757748 0.820494
6 0.835621 0.722204
11 0.664369 0.642679
31 0.587323 0.519639
16 0.823894 0.544669
13 0.879225 0.48644
3 0.884105 0.428261
23 0.913701 0.196908
22 0.517954 0.147384
26 0.485563 0.0373803
8 0.392894 0.0338818
2 0.284922 0.023763
7 0.0770881 0.0207475
10 0.0601505 0.112612
15 0.107067 0.344113
9 0.202514 0.290687
1 0.284481 0.232418
