1 0.517
2 0.507
3 0.538
4 0.535
5 0.506
6 0.489
7 0.526
8 0.494
9 0.508
10 0.506
11 0.508
12 0.519
13 0.508
14 0.514
15 0.507
16 0.507
17 0.5
18 0.533
19 0.528
20 0.531
21 0.521
22 0.521
23 0.505
24 0.513
25 0.513
26 0.512
27 0.502
28 0.503
29 0.531
30 0.513
31 0.508
32 0.523
33 0.522
34 0.529
35 0.53
36 0.53
37 0.485
38 0.51
39 0.523
40 0.513
41 0.532
42 0.517
43 0.519
44 0.526
45 0.518
46 0.533
47 0.479
48 0.515
49 0.537
50 0.515
51 0.524
52 0.521
53 0.524
54 0.515
55 0.523
56 0.519
57 0.513
58 0.514
59 0.539
60 0.504
61 0.52
62 0.497
63 0.508
64 0.503
65 0.504
66 0.516
67 0.513
68 0.52
69 0.52
70 0.52
71 0.518
72 0.514
73 0.509
74 0.496
75 0.529
76 0.5
77 0.492
78 0.471
79 0.539
80 0.515
81 0.531
82 0.546
83 0.515
84 0.547
85 0.515
86 0.522
87 0.496
88 0.51
89 0.487
90 0.509
91 0.522
92 0.517
93 0.509
94 0.526
95 0.535
96 0.525
97 0.504
98 0.532
99 0.514
100 0.524
