1000 0.506394 0.0834104
2000 0.505419 0.0600898
3000 0.506531 0.0485944
4000 0.50366 0.0422454
5000 0.502191 0.0377179
6000 0.500854 0.0345409
7000 0.503536 0.0319879
8000 0.504052 0.0297553
9000 0.503583 0.0278116
10000 0.501214 0.0263299
11000 0.499985 0.0251929
12000 0.50016 0.0241334
13000 0.500513 0.0232264
14000 0.500319 0.0223589
15000 0.500069 0.0216736
16000 0.502089 0.0209772
17000 0.501955 0.0203273
18000 0.50203 0.0197518
19000 0.50241 0.0192563
20000 0.502239 0.0187375
21000 0.502193 0.0182419
22000 0.502628 0.0177614
23000 0.501909 0.0173882
24000 0.501397 0.0170249
25000 0.501469 0.0166944
26000 0.500565 0.01638
27000 0.500407 0.0160756
28000 0.500215 0.0158
29000 0.500182 0.0155218
30000 0.500143 0.0152446
31000 0.499822 0.0149948
32000 0.499685 0.0147734
33000 0.499734 0.0145312
34000 0.499716 0.0143207
35000 0.500207 0.0141314
36000 0.500321 0.0139211
37000 0.500405 0.0137265
38000 0.500574 0.0135393
39000 0.500453 0.0133599
40000 0.500522 0.013198
41000 0.500891 0.0130265
42000 0.501175 0.0128682
43000 0.501354 0.0127202
44000 0.501247 0.0125834
45000 0.501008 0.0124453
46000 0.501151 0.0122959
47000 0.501207 0.0121581
48000 0.501334 0.0120417
49000 0.501198 0.0119221
50000 0.501583 0.0118054
51000 0.501586 0.0116867
52000 0.501462 0.0115827
53000 0.501321 0.0114751
54000 0.501434 0.0113712
55000 0.501337 0.0112703
56000 0.501292 0.0111728
57000 0.501591 0.0110847
58000 0.501867 0.0109919
59000 0.501889 0.0109054
60000 0.501892 0.0108117
61000 0.502039 0.0107174
62000 0.50228 0.0106346
63000 0.502342 0.0105497
64000 0.502278 0.0104708
65000 0.502368 0.0103829
66000 0.502462 0.0103001
67000 0.502576 0.0102249
68000 0.502263 0.0101497
69000 0.502119 0.0100816
70000 0.502078 0.010011
71000 0.502065 0.00994214
72000 0.501637 0.00987192
73000 0.501591 0.00980059
74000 0.501591 0.00973655
75000 0.501622 0.00966988
76000 0.501501 0.00960446
77000 0.501553 0.00954067
78000 0.501685 0.00947947
79000 0.501712 0.00941649
80000 0.501896 0.00935679
81000 0.501825 0.00929726
82000 0.50158 0.00923337
83000 0.501557 0.00917722
84000 0.501375 0.00912279
85000 0.501241 0.00906751
86000 0.501197 0.00901833
87000 0.501336 0.00896409
88000 0.501387 0.00891584
89000 0.501342 0.00886435
90000 0.501367 0.00881434
91000 0.501434 0.00876905
92000 0.501335 0.00871593
93000 0.501397 0.0086685
94000 0.501369 0.00862154
95000 0.501288 0.00857308
96000 0.501285 0.00852829
97000 0.501435 0.00848579
98000 0.501277 0.00843911
99000 0.50149 0.00839539
100000 0.501438 0.00835385
