         0.5    0.344578    0.323813
         0.6    0.414526    0.283869
         0.7    0.426776    0.142697
         0.8    0.437281   0.0819774
         0.9    0.432788   0.0471789
           1    0.416405   0.0274895
         1.1    0.395211   0.0196607
         1.2    0.372209   0.0140035
         1.3    0.343075   0.0159794
         1.4    0.316999   0.0119377
         1.5    0.293855  0.00981248
         1.6    0.270238  0.00701657
         1.7    0.249786  0.00543927
         1.8    0.230128  0.00395418
         1.9      0.2127  0.00304471
           2     0.19719  0.00301643
