#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.4341      1.4341           0
           2     1.41215     1.42312  0.00776197
           3     1.40756     1.41794  0.00668673
           4     1.40276     1.41414  0.00599499
           5     1.41204     1.41372  0.00481078
           6     1.39768     1.41105  0.00469363
           7     1.41783     1.41202  0.00412199
           8     1.41583     1.41249  0.00363413
           9     1.42127     1.41347  0.00335878
          10     1.41508     1.41363  0.00302675
