         0.5    0.933342    0.904042   0.0121943
         0.6    0.679576    0.704575   0.0163448
         0.7      0.5033    0.447184  0.00809636
         0.8    0.304486    0.287889  0.00591299
         0.9     0.21026    0.196924  0.00534139
           1    0.159938    0.146859  0.00413827
         1.1    0.112672    0.109964  0.00329277
         1.2    0.080668   0.0888937  0.00236876
         1.3    0.057624   0.0722222  0.00180748
         1.4    0.048836    0.060306   0.0016572
         1.5    0.039012    0.051003  0.00140418
         1.6    0.032228   0.0435785  0.00146394
         1.7    0.029526   0.0387382  0.00116513
         1.8     0.02642   0.0341926  0.00103795
         1.9     0.02228   0.0302432  0.00116877
           2    0.021612    0.027073  0.00114417
