#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         169     1.85069      1.9293   0.0126083
         170      1.8394     1.92877   0.0125452
         171     1.84857      1.9283   0.0124806
         172     1.83251     1.92775   0.0124205
         173     1.85403     1.92732    0.012356
         174     1.85473      1.9269    0.012292
         175      1.8205      1.9263   0.0122368
         176     1.84687     1.92584   0.0121756
         177     1.85071     1.92542   0.0121142
         178     1.82877     1.92488   0.0120583
         179     1.81029     1.92424   0.0120079
         180     1.85046     1.92383   0.0119482
         181     1.85556     1.92345   0.0118881
         182     1.81933     1.92288   0.0118366
         183     1.77862     1.92209   0.0117981
         184     1.79401     1.92139   0.0117545
         185     1.80623     1.92077   0.0117074
         186     1.78888     1.92006   0.0116659
         187     1.79327     1.91938   0.0116232
         188     1.83769     1.91895   0.0115695
         189     1.86363     1.91866    0.011512
         190     1.84233     1.91825   0.0114584
         191     1.83964     1.91784   0.0114058
         192     1.83937     1.91743   0.0113538
         193     1.87132      1.9172   0.0112974
         194     1.90215     1.91712   0.0112395
         195     1.87869     1.91692   0.0111836
         196      1.9058     1.91686   0.0111266
         197     1.91684     1.91686   0.0110702
         198     1.89112     1.91673    0.011015
         199     1.93342     1.91682     0.01096
         200     1.90253     1.91675   0.0109054
