#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         168     1.26281     1.28651  0.00844976
         169     1.23379      1.2862  0.00840552
         170     1.22627     1.28585  0.00836346
         171     1.23238     1.28554   0.0083204
         172     1.22167     1.28516   0.0082803
         173     1.23602     1.28488  0.00823731
         174     1.23649      1.2846  0.00819466
         175     1.21366      1.2842  0.00815786
         176     1.23125      1.2839  0.00811705
         177     1.23381     1.28361  0.00807612
         178     1.21918     1.28325  0.00803886
         179     1.20686     1.28282  0.00800527
         180     1.23364     1.28255  0.00796546
         181     1.23704      1.2823  0.00792542
         182     1.21289     1.28192  0.00789104
         183     1.18574     1.28139   0.0078654
         184     1.19601     1.28093  0.00783633
         185     1.20415     1.28051  0.00780496
         186     1.19259     1.28004   0.0077773
         187     1.19551     1.27959  0.00774883
         188     1.22513      1.2793  0.00771303
         189     1.24242      1.2791  0.00767468
         190     1.22822     1.27884  0.00763896
         191     1.22643     1.27856  0.00760389
         192     1.22625     1.27829  0.00756917
         193     1.24755     1.27813  0.00753163
         194      1.2681     1.27808  0.00749298
         195     1.25246     1.27795  0.00745571
         196     1.27053     1.27791  0.00741777
         197     1.27789     1.27791  0.00738011
         198     1.26075     1.27782  0.00734335
         199     1.28895     1.27788  0.00730666
         200     1.26835     1.27783  0.00727028
