#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152   -0.436519   -0.461387    0.014023
         153   -0.454308    -0.46134   0.0139314
         154   -0.458586   -0.461323    0.013841
         155   -0.459259   -0.461309   0.0137517
         156   -0.455103   -0.461269   0.0136636
         157    -0.46594   -0.461299   0.0135766
         158    -0.43096   -0.461107    0.013492
         159   -0.400713   -0.460727   0.0134125
         160   -0.396597   -0.460327   0.0133347
         161   -0.405019   -0.459983   0.0132563
         162   -0.406212   -0.459651   0.0131786
         163   -0.389374    -0.45922   0.0131048
         164   -0.435759   -0.459077   0.0130257
         165   -0.449506   -0.459019   0.0129469
         166   -0.427078   -0.458826   0.0128703
         167   -0.425168   -0.458625   0.0127948
         168   -0.422432    -0.45841   0.0127205
         169   -0.379233   -0.457941   0.0126538
         170   -0.367794   -0.457411   0.0125905
         171   -0.377304   -0.456942   0.0125256
         172    -0.36079   -0.456383   0.0124652
         173   -0.382584   -0.455957   0.0124005
         174   -0.383211   -0.455539   0.0123362
         175   -0.349099    -0.45493   0.0122807
         176   -0.375458   -0.454479   0.0122193
         177   -0.379001   -0.454052   0.0121577
         178   -0.357171   -0.453508   0.0121015
         179    -0.33889   -0.452868   0.0120509
         180   -0.378928   -0.452457   0.0119909
         181   -0.384035   -0.452079   0.0119306
         182   -0.347365   -0.451504   0.0118789
         183   -0.306809   -0.450713   0.0118403
         184   -0.322677   -0.450017   0.0117964
         185   -0.334462   -0.449392   0.0117491
         186   -0.317432   -0.448683   0.0117074
         187   -0.321749   -0.448004   0.0116644
         188   -0.366449    -0.44757   0.0116104
         189   -0.392051   -0.447277   0.0115527
         190   -0.370663   -0.446873    0.011499
         191   -0.368212   -0.446462   0.0114461
         192   -0.367898   -0.446052   0.0113938
         193   -0.400082   -0.445814   0.0113373
         194    -0.43087   -0.445737   0.0112791
         195   -0.407159   -0.445539    0.011223
         196   -0.434626   -0.445484   0.0111659
         197   -0.445562   -0.445484   0.0111092
         198   -0.419992   -0.445355   0.0110538
         199   -0.461988   -0.445439   0.0109986
         200   -0.431259   -0.445368   0.0109438
