    0.133333   0.0157986   0.0109939  0.00189219
         0.4   0.0670139   0.0875651  0.00762747
    0.666667    0.162674     0.19638   0.0138211
    0.933333    0.468056    0.312982   0.0170292
         1.2    0.473785    0.409661   0.0196079
     1.46667    0.412847    0.491918   0.0178909
     1.73333    0.583854    0.472977   0.0141911
           2    0.415451    0.454714   0.0123136
     2.26667    0.460938    0.387344   0.0184497
     2.53333    0.288542     0.28908   0.0285282
         2.8    0.138194    0.242878   0.0137766
     3.06667    0.100347    0.170864  0.00910229
     3.33333    0.110069    0.113234  0.00657308
         3.6   0.0135417    0.062079  0.00545222
     3.86667   0.0173611   0.0334071  0.00409824
     4.13333   0.0177083   0.0104818  0.00228486
         4.4  0.00381944  0.00332031  0.00122316
     4.66667           0 0.000121528 0.000119999
     4.93333           0           0           0
         5.2           0           0           0
     5.46667           0           0           0
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
