1 0.527
2 0.52
3 0.546
4 0.526
5 0.507
6 0.521
7 0.536
8 0.503
9 0.519
10 0.513
11 0.522
12 0.539
13 0.513
14 0.522
15 0.523
16 0.528
17 0.508
18 0.528
19 0.54
20 0.525
21 0.518
22 0.531
23 0.501
24 0.516
25 0.536
26 0.52
27 0.512
28 0.502
29 0.545
30 0.516
31 0.514
32 0.522
33 0.549
34 0.542
35 0.529
36 0.523
37 0.508
38 0.515
39 0.513
40 0.52
41 0.541
42 0.517
43 0.517
44 0.525
45 0.526
46 0.547
47 0.484
48 0.532
49 0.539
50 0.525
51 0.538
52 0.521
53 0.524
54 0.535
55 0.552
56 0.536
57 0.514
58 0.519
59 0.537
60 0.525
61 0.524
62 0.505
63 0.511
64 0.508
65 0.513
66 0.53
67 0.534
68 0.521
69 0.516
70 0.533
71 0.532
72 0.512
73 0.512
74 0.497
75 0.526
76 0.533
77 0.489
78 0.489
79 0.544
80 0.497
81 0.53
82 0.546
83 0.514
84 0.521
85 0.526
86 0.529
87 0.498
88 0.519
89 0.49
90 0.497
91 0.51
92 0.533
93 0.52
94 0.536
95 0.54
96 0.543
97 0.526
98 0.524
99 0.524
100 0.52
